Question Name,Question,Option A,Option B,Option C,Option D,Answer,Explanation
Question 272,If relevant incremental costs are $5000 and relevant opportunity cost of invested capital is $2500 then relevant inventory carrying costs would be,$7500 ,$7000 ,$6500 ,$6000 ,A,No explanation
Question 273,Statistical quality control is also called,statistical process control,statistical failure control,statistical control of prevention cost,statistical control of sunk cost,A,No explanation
Question 274,First step in process costing system is to,summarize flow of output,compute output in units,summarize total costs,compute cost for each equivalent unit,A,No explanation
Question 275,If fixed overhead allocated for actual output unit is $7500 and budgeted fixed overhead is $21000 then production volume variance will be,$16500 ,$15500 ,$14500 ,$13500 ,D,No explanation
Question 276,Direct material cost of sold goods is subtracted from revenues to calculate,accrual contribution,indirect contribution,throughput contribution,direct contribution,C,No explanation
Question 277,All conditions or assumptions of regression analysis in simple regression can give,dependent estimation,independent estimation,reliable estimates,unreliable estimates,C,No explanation
Question 278,An estimated price which is expected to be paid by customers for particular market offering is classified as,target price,target cost,outsource price,off shore price,A,No explanation
Question 279,Industrial engineering method is used to analyze relationship between,marketing and financing,price and costs,input and output,units and batches,C,No explanation
Question 280,In operating income strategic analysis a component which measures change in operating income attributed to change in output quantity is classified as,internal process component,growth component,price recovery component,productivity component,B,No explanation
Question 281,Budgeted income statement and supporting budget schedules are categorized under,focused statement,slack statement,budgeted income statement,operating budget,D,No explanation
Question 282,Fixed cost and contribution margin percentage for bundle are divided to calculate,breakeven costs,breakeven revenues,breakeven units,breakeven sales,B,No explanation
Question 283,An example of financial perspective in balanced scorecard is,employee turnover rates,operating capabilities and number of patents,operating income and revenue growth,customer satisfaction and market share,C,No explanation
Question 284,Difference between actual input variance and budgeted input variance is called,price variance,actual output price,budgeted output price,actual selling price,A,No explanation
Question 285,Residual term is also considered as,error term,disturbance term,relevant term,both a and b,D,No explanation
Question 286,Percentage of variation in 'Y' explained by 'X' is measured by,coefficient of residual,coefficient of prediction,coefficient of determination,coefficient of index,C,No explanation
Question 287,An efficiency variance is 200 units and actual input quantity is 500 units then budgeted input quantity will be,300 units,700 units,800 units,500 units,A,No explanation
Question 288,If an overhead cost of operating a machine is $500000 for 1000 hours then cost allocation rate will be,$1500 per machine hour,$250 per machine hour,$500 per machine hour,$1000 per machine hour,C,No explanation
Question 289,Another name of super-variable costing is,throughput costing,unit costing,batch costing,manufacturing costing,A,No explanation
Question 290,If budget sales units are 5000 ending inventory is 4000 units and beginning inventory is 1000 then budget production will be,4000 units,5000 units,8000 units,10000 units,C,No explanation
Question 291,An income statement in absorption costing follows format of,inventory margin,sales margin,Gross margin,production margin,C,No explanation
Question 292,If payback period is 4 years and uniform increases in cash flows per year is $2750000 then net initial investment can be,$10511000 ,$12105000 ,$1100000 ,$11000000 ,D,No explanation
Question 293,Small residual terms and positive slope of line indicate,badness proportions,goodness proportion,inversely proportion,directly proportion,D,No explanation
Question 294,Performance is evaluated only on basis of price variance if performance evaluation is,positive,negative,zero,one,A,No explanation
Question 295,Single or multiple units of distinct services or products are classified as,cost,job,post,price,B,No explanation
Question 296,A product performance in comparison to its features and design is classified as,learning quality,design quality,conformance quality,business process quality,C,No explanation
Question 297,Standard cost of allocation base allowed to output achieved is multiplied to standard variable overhead rate is to calculate,indirect manufacturing overhead cost,direct manufacturing overhead cost,fixed manufacturing overhead cost,variable manufacturing overhead cost,D,No explanation
Question 298,An insensitivity of demand in relevance to change in price will be called,demand elasticity,price elasticity,price inelasticity,demand inelasticity,D,No explanation
Question 299,Sales budget variance is subtracted from flexible budget amount to calculate,static budget amount,unstated amount,constant amount,variable amount,A,No explanation
Question 300,Contribution per unit is $1200 and number of units sold is $80 then contribution margin would be,$9650 ,$96000 ,$15 ,$9600 ,B,No explanation
Question 301,If real rate is 16% and an inflation rate is 8% then nominal rate of return will be,27.28%,25.28%,22.28,21.28,B,No explanation
Question 302,Financial factors measured in numerical terms having some monetary value are considered as,qualitative factors,quantitative factors,expected factors,recorded factors,B,No explanation
Question 303,An average inventory in units is multiplied with annual relevant carrying cost of each unit to calculate,annual irrelevant ordering costs,annual relevant carrying costs,annual relevant ordering costs,annual irrelevant carrying costs,B,No explanation
Question 304,A measure which evaluates overall tradeoff and effect among non-financial performance measure is,non-financial measures,financial measures,effective measure,lump sum measure,B,No explanation
Question 305,Method which calculates time to recoup initial investment of project in form of expected cash flows is known as,net value cash flow method,payback method,single cash flow method,lean cash flow method,B,No explanation
Question 306,A push through system according to which goods are manufactured for finished inventory solely on basis of forecasted demand can be classified as,in-time production,materials requirement planning,on-time production,pull strategy of production,B,No explanation
Question 307,Budget sales plus target ending finished goods inventory minus beginning finished goods inventory is equal to,budget production,planned production,setup production,stand by production,A,No explanation
Question 308,Vertically upward dimension of cost analysis is also called,project dimension,accounting-period dimension,back-flush accounting dimension,lean accounting dimension,B,No explanation
Question 309,An analysis of data over successive past periods which pertain to some plant activity and organization is called,economic series,financial series,time series,analytical series,C,No explanation
Question 310,Sum of cost of direct materials costs of buildings equipment research and development costs is classified as,throughput costs,investments,operating costs,marginal costs,B,No explanation
Question 311,Individual variable coefficient's multicollinearity leads to,decrease in variance,increase in variance error,increase in standard error,decrease in standard error,C,No explanation
Question 312, constant variance is classified in assumptions testing as,homogenous,homoscedasticity,heteroscedasticity,heterogeneous,B,No explanation
Question 313,Revenue and throughput contribution is subtracted to calculate the,indirect labor cost of goods sold,direct labor cost of goods sold,direct material cost of goods sold,indirect material cost of goods sold,C,No explanation
Question 314,Production units that do not meet customer specification but can be sold to other customers as finished goods are classified as,reduced work,spoilage,rework,scrap,C,No explanation
Question 315,If static budget amount is $6200 and flexible budget amount is $4500 then sales volume variance will be,$6200 ,$1700 ,$17000 ,$4500 ,B,No explanation
Question 316,If an actual incurred cost is $387500 and flexible budget amount is $168750 then fixed overhead variance of flexible budget would be,$518750 ,$418750 ,$218750 ,$318750 ,C,No explanation
Question 317,Budget which predicts effect of given level of operations on a cash position is classified as,market budget,price schedule,planned schedule,cash budget,D,No explanation
Question 318,Rate of return to cover a risk of investment and decrease in purchasing power as a result of inflation is known as,nominal rate of return,accrual accounting rate of return,real rate of return,required rate of return,A,No explanation
Question 319,As compared to cumulative average-time learning model learning model which predicts more cumulative total time to produce more units is known as,incremental unit time learning model,incremental price learning model,incremental unit average model,incremental cost learning model,A,No explanation
Question 320,An ability of an organization to offer its services or products that must be perceived by customers as unique and superior in comparison to its competitors is called,inelastic demand,product differentiation,cost leadership,elastic demand,B,No explanation
Question 321, cost object user who is ranked first in incremental cost allocation method is known as,First incremental user,primary user,secondary user,second incremental user,B,No explanation
Question 322,Model in which produced unit doubles every time as cumulative average time per unit decreases by a constant percentage can be classified as,cumulative average time learning model,cumulative mean learning model,cumulative weighted learning model,cumulative average pricing model,A,No explanation
Question 323,An exertion for achieving a set goal is known as,motivation,goal congruence,effort,autonomy,C,No explanation
Question 324,If change in variable costing in operating income is $18000 and contribution margin per unit is $9000 then change in sold units will be,$2 per unit,$3 per unit,$4 per unit,$5 per unit,A,No explanation
Question 325,Decision making step which consists of organization goals predicting alternatives and communicating goals is called,organization,alternation,planning,valuing,C,No explanation
Question 326,In specification analysis assumptions related to variance state that:,variance of residuals is constant,variance of goodness is constant,goodness of fit is constant,standard error is constant,A,No explanation
Question 327,Revenue is $11000 and all variable cost is $6000 then contribution margin would be,‰öÕ$17000,$17000 ,$5000 ,‰öÕ$5000,C,No explanation
Question 328,Costing technique which classify all activities in costing hierarchy is classified as,activity based costing,non-financial costing,profit costing,lump sum costing,A,No explanation
Question 329,Process of making long term decisions for capital investment in projects is called,lead budgeting,lean budgeting,capital budgeting,relevant budgeting,C,No explanation
Question 330,If slope coefficient is 0.60 and difference in machine hours is $50000 then difference in cost can be,$68700 ,$58700 ,$30000 ,$83333.34 ,C,No explanation
Question 331,An availability of financial information to oversee operations and system of accounting is known as,manager ship,controllership,proprietorship,functional line,B,No explanation
Question 332,Difference between corresponding static budget and flexible budget amount is called,sales volume variance,sales mix variance,sales quantity variance,market share variance,A,No explanation
Question 333,If quantity of manufactured jackets is 2250000 units and leather used to produce output is 3500000 må_ then direct partial productivity of material will be,0.642 unit of jacket per å_ of leather,0.342 unit of jacket per å_ of leather,0.442 unit of jacket per å_ of leather,0.542 unit of jacket per å_ of leather,A,No explanation
Question 334,Joint cost allocation method in which individual product from joint products must gain a gross margin percentage is classified as,sales value at split off method,joint products value at split off method,constant gross margin percentage NRV method,Gross realizable value method,C,No explanation
Question 335,Consumed time to deliver a complete order to its customers is termed as,responding time,value chain time,delivery time,manufacturing cycle efficiency,C,No explanation
Question 336,If operating income is $5650000 and revenue is $68558000 then return on sales will be,8.24%,7.24%,9.24%,10.24%,A,No explanation
Question 337,Fifth step in quantitative analysis of estimating cost function is to,estimate cost function,estimate price function,estimate supply function,estimate demand function,A,No explanation
Question 338,Lower level of production leads to,higher setup cost,lower repair cost,higher setup cost,higher repair cost,B,No explanation
Question 339,In plotting cost functions number of machine hours and batches are represented on,unit axis,term axis,x-axis,y-axis,D,No explanation
Question 340,In process of examining occurred changes in total revenues operating income and costs is known as,revenue analysis,costs analysis,operating income analysis,cost volume profit analysis,D,No explanation
Question 341,Budget which is planned around a single output level is called,marketing budget,methodological budget,static budget,varied budget,C,No explanation
Question 342,Manufacturing distribution and marketing costs incur after split off point is classified under,separable costs,joint costs,main costs,split off costs,A,No explanation
Question 343,If production is less than sales then operating income under variable costing is,negative income value,lower income,higher income,zero dividends,C,No explanation
Question 344,A document which consists information about labor time usage for specific job in a specific department is known as,selling time record,labor time record,buying time record,direct time record,B,No explanation
Question 345,Difference between budgeted contribution margin for actual sales mix and budgeted sales mix is called,sales quantity variance,cost mix variance,volume mix variance,sales mix variance,D,No explanation
Question 346,Higher and accurate budgeted profit forecast of managers lead to ,high incentive bonus,low incentive bonus,influence bonus,revenue bonus,A,No explanation
Question 347,Forgone contribution of resources into revenues because of not using resources in next best use is classified as,in-source cost,opportunity cost,offshore cost,outsource cost,B,No explanation
Question 348, starting point in operating budget is,cost budget,material list,revenue budget,list of investors,C,No explanation
Question 349, executive salaries rent and other general administration cost in corporate costs are classified under,human resource management costs,corporate administration costs,treasury costs,discretionary costs,B,No explanation
Question 350,Costs are classified as fixed or variable on basis of,specific activity,given time period,common activity,both a and b,D,No explanation
Question 351, An average figure for particular period which provides zero meaning feedback to marketing manager is termed as,normal capacity utilization,abnormal capacity utilization,standard capacity utilization,infinite capacity utilization,A,No explanation
Question 352,An availability of after sale support to existing or potential customers in value chain analysis is known as,customer services,utility services,resource services,acquiring services,A,No explanation
Question 353,Difference of cost which occurs while considering alternatives can be classified as,dependent cost,independent cost,incremental cost,differential cost,D,No explanation
Question 354,To calculate budgeted fixed manufacturing cost per unit fixed budgeted manufacturing costs are divided to,budgeted production units,indirect production units,input material units,accrued production units,A,No explanation
Question 355,Financial statements and budget plans of some companies are also called,cost statement,preformed statement,sales statement,market statement,B,No explanation
Question 356,If contribution margin of bundle is $4000 and revenue of bundle is $16000 then contribution margin percentage for bundle will be,10%,15%,25%,35%,C,No explanation
Question 357,Quantitative expression of action plan by management of firm for a specified period of time is classified as,complexity,process,budget,batching,C,No explanation
Question 358,Budget plan in many companies is also referred as,profit plan,sales plan,cost plan,marketing plan,A,No explanation
Question 359,Considering two years 2013 and 2014 quantity of output produced in 2014 is divided by cost of input used in 2013 to produce output in 2014 to calculate,benchmark engineered productivity,benchmark total factor productivity,benchmark partial productivity,benchmark total productivity,B,No explanation
Question 360,If flexible budget amount is $62000 and an actual result is $35000 then flexible budget amount would be,$27000 ,$37000 ,$97000 ,$87000 ,A,No explanation
Question 361,Costing technique which traces direct costs by multiplying price rate for producing actual outputs is known as,constant costing,standard costing,unit costing,batch costing,B,No explanation
Question 362,Number of employees that indicate high ratings of satisfaction divided by number of surveyed employees are to calculate,employee satisfaction,employee turnover,employee training,employee failures,A,No explanation
Question 363,An estimated cost per unit in long run which enables company to achieve it's per unit target operating income is classified as,target operating income per unit,target cost per unit,total current full cost,total cost per unit,B,No explanation
Question 364,Quantity or number of units of different products that together make up total sales of company is called,sales mix,product mix,unit mix,quantity mix,A,No explanation
Question 365,Process of tracing direct costs and allocation of indirect costs is known as,cost assignment,direct assignment,indirect assignment,economic assignment,A,No explanation
Question 366,Cost which remains unchanged in proportion to level total volume of production is classified as,total cost,infeasible cost,fixed cost,variable cost,C,No explanation
Question 367,In cost accounting financial way of charging price for product above cost of acquiring or producing goods is known as,sales margin,cost margin,Gross margin,income margin,C,No explanation
Question 368,Quantity of produced output is divided by quantity of used input to calculate,targeted productivity,total factor productivity,partial productivity,unused productivity,C,No explanation
Question 369,Direct material cost of goods sold is $8450 throughput contribution is $18650 then revenues will be equal to,$27100 ,$37100 ,$10200 ,$12200 ,A,No explanation
Question 370,If budgeted total direct labor hours are 3800 and budgeted direct labor cost is $480000 then budgeted direct labor cost rate will be,$126.32 per labor hour,$128.32 per labor hour,$130 per labor hour,$132 per labor hour,A,No explanation
Question 371,Actual price of material is less than budgeted price this means that,price variance is favorable,price variance is unfavorable,cost variance is favorable,cost variance is unfavorable,A,No explanation
Question 372,Costs which consist of interdepartmental cost allocations plus cost of support department are classified as,complete reciprocal costs,artificial costs,operating costs,flexible operating costs,A,No explanation
Question 373,Type of plan of a company which quantities expectations of cash flows income and financial position is known as,budget,batching,complexity,process,A,No explanation
Question 374,If budgeted quantity of output unit is 450 and budgeted overhead fixed cost is $250 then budgeted fixed overhead output unit will be,$142500 ,$112500 ,$122500 ,$132500 ,B,No explanation
Question 375,Quantitative expression of decided plan and coordination for plan implementation is known as,cost format,decided plan,coordination plan,budget,D,No explanation
Question 376,An actual rate paid to labor is greater than budgeted rate it means that the,cost is unfavorable,variance is unfavorable,variance is favorable,cost is favorable,B,No explanation
Question 377,An error term disturbance term or residual term is calculated as,U=A-b,u=A-a,u=Y-y,u=X-x,C,No explanation
Question 378,If sales volume variance is $8500 and static budget amount is $2000 then flexible budget amount would be,$6500 ,$6600 ,$6700 ,$6800 ,A,No explanation
Question 379,If opportunity cost per barrel is $45 per unit incremental cost per barrel is $65 then minimum transfer price will be,$45 ,$110 ,$20 ,$65 ,B,No explanation
Question 380,If fixed manufacturing cost expenses are under variable costing and are not expensed in absorption costing it is resulting in,production exceeds breakeven sales,breakeven sales exceeds production,price exceeds cost,cost exceeds price,A,No explanation
Question 381,Cost function in which graph of total cost would not result in straight line is classified as,nonlinear cost function,linear cost function,linear price function,nonlinear price function,A,No explanation
Question 382,An assumption which states that there must be linear relationship between independent variable and dependent variable is ,irrelevant range of linearity,relevant range of linearity,significant range,insignificant range,B,No explanation
Question 383,If flexible budget variance is $95000 and an actual cost is $40000 then flexible budget cost would be,$135000 ,$45000 ,$50000 ,$55000 ,D,No explanation
Question 384,Vertical difference which measures distance between estimated and actual cost for every single observation is classified as,residual term,positive term,negative term,squared term,A,No explanation
Question 385,Practice which makes target more achievable by underestimating revenues or overestimating cost is called,cost slack,target slack,budgetary slack,revenue slack,C,No explanation
Question 386,An act of making sure that all employees must understand goals is classified as,coordination,communication,annual profit plan,budgeting,B,No explanation
Question 387,A manager who is responsible for both cost and revenues belong to department of,cost center,revenue center,profit center,investment center,C,No explanation
Question 388,In management accounting an emphasis and focus must be,future oriented,past oriented,communication oriented,bank oriented,A,No explanation
Question 389,If budgeted fixed cost is $40000 and budgeted fixed cost is $16 per unit then budgeted denominator level will be,3500 units,2500 units,3900 units,4900 units,B,No explanation
Question 390,Measuring of capacity levels in terms of practical and theoretical capacity is classified as,capacity write down,capacity write up,capacity supplied,capacity borrowed,C,No explanation
Question 391,In cost accounting conference quantitative analysis and account analysis methods are considered as,cost estimation methods,price estimation methods,unit estimation method,variable estimation method,A,No explanation
Question 392,Component of total cost which never changes with change in level of production is classified as,fixed cost,constant,variable,both a and b,A,No explanation
Question 393,Costs such as book value of old machines are $25000 can be a classified as an example of,salvages,relevant,irrelevant,depreciated cost,C,No explanation
Question 394,An indirect setup labor costs costs of setup and equipment maintenance and costs of indirect material can be categorized as,variable batch costs,fixed batch costs,variable setup costs,fixed setup costs,C,No explanation
Question 395,Relevant incremental costs are added into relevant opportunity cost of capital to calculate,purchase order costs,relevant inventory carrying costs,irrelevant inventory carrying costs,relevant ordering costs,B,No explanation
Question 396,Strength of relationship between cost driver and cost is considered as,badness of residual,goodness of residual,badness of fit,goodness of fit,D,No explanation
Question 397,In regression equation Y = $6000 + (per unit cost 'x' number of units) '$6000' is a,constant,variable,expression,base and exponent,A,No explanation
Question 398,If number of processes in which employees who can make decisions are 20 and number of processes are 50 then employee empowerment ratio will be,0.9,0.4,0.3,0.8,B,No explanation
Question 399,Cost of manufactured goods is added into beginning inventory and amount equal to cost of sold goods are added into,minus beginning inventory,minus ending inventory,plus ending inventory,plus beginning inventory,C,No explanation
Question 400,Costs of all activities for a group of products rather than individual product can be classified as,activity level costs,input level costs,batch level costs,output level costs,C,No explanation
Question 401,Budgeted variable overhead rate is multiplied to an actual quantity of allocation base is to calculate variable manufacturing cost of overheads in,direct costing method,indirect costing method,actual costing method,normal costing method,D,No explanation
Question 402,In accounting cost which is predicted to be incurred or future cost is known as,past cost,incurred cost,actual cost,budgeted cost,D,No explanation
Question 403,If budgeted total direct labor hours are 5500 and budgeted direct labor cost is $755000 then budgeted direct labor cost rate is,$138 per labor hour,$137.27 per hour,$140 per labor hour,$142 per labor hour,B,No explanation
Question 404,In normal costing an actual quantity of cost allocation used base is multiplied to budgeted fixed overhead rates to calculate the,indirect manufacturing overhead cost,direct manufacturing overhead cost,fixed manufacturing overhead cost,variable manufacturing overhead cost,C,No explanation
Question 405,Difference of current assets and working capital is equal to,current liabilities,long-term liabilities,residual assets value,net residual income,A,No explanation
Question 406,An actual quantity of input use is multiplied to actual prices to calculate direct variable manufacturing cost in,actual costing method,normal costing method,direct costing method,indirect costing method,A,No explanation
Question 407,Dimensional analysis of cost includes,horizontally across dimension,horizontally upward dimension,vertically upward dimension,both a and c,D,No explanation
Question 408,In two of methods of costing operating income will be different if the,fixed cost does not change,inventory changes,inventory does not change,fixed cost changes,B,No explanation
Question 409,An example of rework is,short lengths from wood work,defective aluminum cans recycled by manufacturer,detection of defective pieces before shipment,none of above,C,No explanation
Question 410,Prime cost is $50000 and direct manufacturing labor is $10000 then direct material cost will be,$40000 ,$60000 ,$52000 ,$20000 ,A,No explanation
Question 411,An inventory which consists of partially worked goods is called,direct materials inventory,work in process inventory,finished goods inventory,indirect material inventory,B,No explanation
Question 412,An example of qualitative factor is,employee morale,cost of materials,cost of workers,cost of marketing,A,No explanation
Question 413,In linear cost function fixed cost is considered as,constant,variable,exponent,base,A,No explanation
Question 414,Strategy that interlinks technology and people to enhance relationships in all business functions is classified as,technology management,people management,customer relationship management,resource management,C,No explanation
Question 415,Total capacity of producing output while operating at full efficiency is known as,standard capacity,actual capacity,normal capacity,theoretical costing,D,No explanation
Question 416,Concept which states that resources are used to meet particular goals is ,cost incurrence,valued incurrence,locked incurrence,non valued incurrence,A,No explanation
Question 417,If contribution margin is $3000 and revenues are $9000 then all variable costs will be,$12000 ,$6000 ,‰öÕ$6000,‰öÕ$12000,B,No explanation
Question 418,Costs that are incurred in last department where product has been processed and will be carried to next department for further processing are called,partial work costs,transferred-in costs,transferred-out costs,weighted average costs,B,No explanation
Question 419,In accounting system a document which consists of all assigned cost for specific job is classified as,job cost record,job cost sheet,source document,both a and b,D,No explanation
Question 420,Method which allocates joint costs of joint products considering physical measures such as volume or relative weight at point of split off is known as,direct cost measure method,indirect cost measure method,physical-measure method,relative-measure method,C,No explanation
Question 421,Cost which is related to specific cost object and cannot be economically traceable is classified as,line cost,staff cost,direct cost,indirect cost,D,No explanation
Question 422,If value of final sales is $48000 and net realizable value is $35000 then value of sales costs would be,$35000 ,$13000 ,$83000 ,$48000 ,B,No explanation
Question 423,In monetary terms an expected value of outcome is classified as,expected value,expected decision value,expected outcome value,expected monetary value,D,No explanation
Question 424,If contribution per unit is $900 and number of units sold is $70 then contribution margin will be,$97000 ,$83000 ,$63000 ,$12860 ,C,No explanation
Question 425,Third ranked product in incremental revenue-allocation method is known as,primary product,First incremental product,Second incremental product,Third incremental product,D,No explanation
Question 426,Manufacturing overhead cost allocated to individual jobs is classified as,manufacturing overhead allocated,cost overhead applied,manufacturing overhead applied,both A and C,D,No explanation
Question 427,If target operating income is $45000 and contribution margin per unit is $500 then number of units must be sold to earn targeted operating incomes will be,100 units,90 units,110 units,120 units,B,No explanation
Question 428,Measuring of capacity in terms of normal capacity utilization is also termed as,output demanded,input demanded,capacity supplied,capacity borrowed,A,No explanation
Question 429,Second step in constant gross margin percentage Net Realizable Value (NRV) method to allocate joint cost is to compute,allocated joint costs,cost of split off point,Gross margin percentage,total production cost of each product,D,No explanation
Question 430,In stand-alone revenue-allocation method type of weights available for this method are,selling prices as weights,unit costs as weights,physical units as weights,all of above,D,No explanation
Question 431,Change in variable costing in operating income is calculated by multiplying contribution margin per unit to,increase in units sold,change in quantity of sold units,increase in units manufactured,decease in units manufactured,B,No explanation
Question 432, better administration of budget in budgeting plans require,intelligent interpretations,participation,persuasion,all of above,D,No explanation
Question 433,If selling price is $20 and number of units sold are 800 then revenue is equal to,$16000 ,$40000 ,$25000 ,$35700 ,A,No explanation
Question 434,Non-financial and financial aspects of plan by company management is classified as,complexity,process,budget,batching,C,No explanation
Question 435,If total revenue is $10000 and total variable cost is $4000 then contribution margin would be,$25000 ,$14000 ,$6000 ,$8400 ,B,No explanation
Question 436,Target price is subtracted from per unit target operating income to calculate,total current full cost,total cost per unit,target operating income per unit,target cost per unit,D,No explanation
Question 437,Selection of target price understanding customer requirements improving product designs and use of cross functional teams are considered as aspects of,target pricing,target costing,value engineering,all of above,D,No explanation
Question 438,Time between a customer's order placement till customer receives its delivery is known as,manufacturing lead time,manufacturing cycle time,customer response time,system process time,C,No explanation
Question 439,Experimentation and generation of ideas related to new product or services are included in,addressing management,research and development,value development,service provider,B,No explanation
Question 440,Description in mathematical form to represent changes in cost with level of activity related to that cost is classified as,cost function,revenue function,unit function,relative function,A,No explanation
Question 441,Costs that are incurred to find manufactured products which does not meet specifications are called,prevention costs,external failure costs,appraisal costs,internal failure costs,C,No explanation
Question 442,Product capacity and costing performance evaluation and regulatory requirements are purposes of,denominator level choices,numerator level choices,normal level choices,standard level choices,A,No explanation
Question 443,All choices for decision that are easily available to managers are classified as,outcome,actions,events,distribution,B,No explanation
Question 444,If budgeted annual indirect cost is $85000 and budgeted annual quantity of cost allocation base is $7500 then budgeted indirect cost rate would be,112.34 per piece,113.34 per piece,111.34 per piece,110.34 per piece,B,No explanation
Question 445,Considering balanced scorecard perspective in which performance of organization includes is,financial perspective,learning and growth perspective,customer perspective,all of above,D,No explanation
Question 446,Planning of financial aid to coordinate; what is to be done for implementation of plan is classified as,budget,batching,complexity,process,A,No explanation
Question 447,Larger number of manager subordinates and higher level manager are termed as,activity subordinates,broader responsibility center,broader subordinates,activity ordinates,B,No explanation
Question 448,Flexible budget amount is added to flexible budget variance to calculate,static result,actual result,secondary result,primary result,B,No explanation
Question 449,An operating income is divided by revenues to calculate,residual income,return on after-tax operating income,return on sales,return on investment,C,No explanation
Question 450,In accounting possibility of deviation of actual amount from an expected amount is classified as,contribution,certainty,uncertainty,margin,C,No explanation
Question 451,Costing and allocating situation in which indirect cost allocated amount is less than actually incurred amount is known as,over allocated budget,under allocated budget,under allocated indirect cost,over allocated direct cost,C,No explanation
Question 452,Capital budgeting method to analyze information of financials include,internal rate of return,accrual accounting rate of return,net present value,all of above,D,No explanation
Question 453,Philosophy in which management works to improve value chain of products to exceed customer expectations is classified as,quality,management chain,customer chain,cost chain,A,No explanation
Question 454,Balance sheet in which all costs of product that must be considered as its assets is said to be,factory overhead costs,manufacturing overhead costs,Inventoriable costs,finished costs,C,No explanation
Question 455,Direct material cost is $75000 and direct manufacturing labor is $20000 then prime cost would be,$55000 ,$37500 ,$95000 ,$26000 ,C,No explanation
Question 456,Product which requires low amount of resources but incur high per unit cost is classified as,expected under cost,expected over cost,product under costing,product over costing,D,No explanation
Question 457,Flexible budget amount is $57000 and flexible budget variance is $14000 then actual result amount will be,$61000 ,$71000 ,$43000 ,$24000 ,B,No explanation
Question 458, In process costing method when work done in current accounting period and beginning inventory before current accounting period is classified as,partial inventory costing method,current period inventory method,Last-in first-out method,First-in first-out method,D,No explanation
Question 459,Cash management investments long and short term financing are included in,proprietorship,functional line,treasury,controllership,C,No explanation
Question 460,If a company uses large quantity of input than budgeted quantity for output level then company is known to be,variable growth of company,constant growth of company,company is inefficient,company is efficient,C,No explanation
Question 461,An assignment of task for managers who are accountable for their actions in controlling and budgeting of resources is classified as,coordinating the company effort,action plan,action accountability,project accountability,A,No explanation
Question 462,An energy machine maintenance indirect materials and engineering support are considered as,variable overhead cost,fixed overhead cost,fixed batch cost,variable batch cost,A,No explanation
Question 463,Payback period is multiplied for constant increase in yearly future cash flows to calculate,cash value of money,net initial investment,net future value,time value of money,B,No explanation
Question 464,Systematic way of linking group of indirect cost to a cost object is classified as,linked allocation base,direct allocation base,indirect allocation base,cost allocation base,D,No explanation
Question 465,Manufacturing sector companies include,distribution companies,textile companies,retailing companies,internet service providers,B,No explanation
Question 466,Total revenues is subtracted from total variable costs to calculate,revenue margin,variable margin,contribution margin,divisor margin,C,No explanation
Question 467,Factors that affect demand of customers include,cyclical factors,seasonal factors,trend factors,all of above,D,No explanation
Question 468,In a normal accounting period an allocated amount of indirect cost is $700 and an actual amount is $800 then this can be classified as,under allocated indirect cost,over allocated direct cost,over allocated budget,under allocated budget,A,No explanation
Question 469,In a joint process of production a product which yields high volume of sales as compared to total sales volume of other products is known as,incremental product,sunk product,main product,split off product,C,No explanation
Question 470,Fixed direct manufacturing cost is calculated by multiplying standard prices for standard quantity of allowed input for actual output in,input costing,output costing,standard costing,achieved costing,C,No explanation
Question 471,In cost accounting goal of variance analysis is to,understand variance reason,improve future performance,learning of improvement,all of above,D,No explanation
Question 472,If contribution margin per unit is $1000 and contribution margin percentage is 25% then selling price would be,$2500 ,$4000 ,$3800 ,$3800 ,B,No explanation
Question 473,If an actual indirect cost incur is $35000 and indirect cost allocated is $43000 then under allocated indirect cost will be,$78000 ,‰öÕ$78000,‰öÕ$8000,$8000 ,C,No explanation
Question 474,In activity based costing system description of activity can be classified as,activity list,activity dictionary,active purpose,both a and b,D,No explanation
Question 475,Method which uses specific information on products as weights to allocate bundled revenues for each product in bundle is classified as,step down allocation method,stand-alone revenue allocation method,incremental revenue allocation method,revenue mix allocation method,B,No explanation
Question 476,Number of units must be sold to earn targeted operating income are calculated by dividing total fixed cost operating income and,marginal cost per unit,variable cost per unit,fixed cost per unit,contribution margin per unit,D,No explanation
Question 477,If breakeven revenue is $220000 and revenue per bundle is $10000 then number of bundles to be sold to breakeven will be,32 bundle,22 bundle,42 bundle,38 bundle,B,No explanation
Question 478,In management control an efficiency variance is also referred as,control variance,uncontrolled variance,usage variance,effective variance,C,No explanation
Question 479,In step cost functions cost is increased by,discrete amounts,same amounts,linear amounts,nonlinear amounts,A,No explanation
Question 480,Reduction in setup time manufacturing cycle efficiency and average time of manufacturing for key products are examples of,measures of growth and learning,measures of internal business processes,customer measures,financial measures,B,No explanation
Question 481,In throughput costing variable manufacturing overhead and direct manufacturing labor cost must be treated as,accrual cost,incurred cost,period costs,setup costs,C,No explanation
Question 482,Fixed manufacturing cost under absorption costing is,high dividend,low dividend,inventoriable,non-inventoriable,D,No explanation
Question 483,A desire to achieve a particular goal with pursuit of that goal is called,motivation,goal congruence,effort,autonomy,A,No explanation
Question 484,Individual activities such as machine setups material handling customer service and distribution of products are a part of,activity based costing,margin based costing,goodness of costing,handling based costing,A,No explanation
